id,source,title,authors,year,venue,stage_reached,decision,exclusion_reason,category,notes,subcategory,screener,screener_original,confidence,doi,arxiv_id,citations,citations_source,is_published,n_sources,all_sources,priority_band,has_abstract
C00001,google_scholar,A Theoretical Analysis of Migration Strength Selection in SmoothQuant,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00002,google_scholar,Acceleration of Training for Mixture-of-Experts Models Under Memory Offloading,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00003,google_scholar,AttentionletIs All You Need!,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00004,google_scholar,Comparative Analysis of Post-Quantization Techniques for Small Language Models,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00005,google_scholar,DEEP PROGRESSIVE TRAINING: SCALING UP DEPTH,,,,stage_1,exclude,Exclusion 6,,Scholar hit outside protocol scope (vendor doc / non-archival); flagged at dedup.,,metadata,,high,,,0,,no,1,google_scholar,unknown_year,no
C00006,google_scholar,"Efficient Adaptation of Pre-trained Models: A Survey of PEFT for Language, Vision, and Multimodal Learning",,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00007,google_scholar,Efficient Attention and Beyond: A Survey of Advances in Optimizing Transformer Inference,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00008,google_scholar,Efficient Fine-Tuning of Quantized LLMs via Three-Stage Optimization,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00009,google_scholar,Large Language Model Memory Optimization for Long-Context Cybersecurity Tasks,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00010,google_scholar,Large Language Models (LLMs): Quantization,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00011,google_scholar,NeuroCache: Budget-Constrained Activation Offloading for Low-VRAM Transformer Training,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00012,google_scholar,ProTrain: Efficient LLM Training via Automatic Memory Management,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00013,google_scholar,Quantized Visual Geometry Grounded Transformer,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00014,google_scholar,SPARQ: Outlier-free SpeechLM with Fast Adaptation and Robust Quantization,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00015,google_scholar,THE GEOMETRY OF LLM QUANTIZATION,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00016,google_scholar,Towards Lossless Memory-efficient Training of Spiking Neural Networks via Gradient Checkpointing and Spike Compression,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00017,google_scholar,Towards Quantization-Adversarial Reparameterizations,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00018,google_scholar,Towards Understanding the Dynamics of Low-Rank Adaptation,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00019,google_scholar,ULoRA: Universal Low-Rank Adaptation of Diverse Deep Learning Architectures,,,,stage_1_pending,,,,Year missing; verify against criterion 5 before including. No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,google_scholar,unknown_year,no
C00020,openalex_acm,"""Hello AI"": Uncovering the Onboarding Needs of Medical Practitioners for Human-AI Collaborative Decision-Making",Carrie J. Cai; Samantha Winter; David F. Steiner; Lauren Wilcox; Michael Terry,2019,Proceedings of the ACM on Human-Computer Interaction,stage_1_pending,,,,,,,,,10.1145/3359206,,583,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00021,arxiv,A Generative Framework for Zero-Shot Learning with Adversarial Domain Adaptation,Varun Khare; Divyat Mahajan; Homanga Bharadhwaj; Vinay Verma; Piyush Rai,2019,arXiv,stage_1_pending,,,,,,,,,,1906.03038,0,,no,1,arxiv,confirmation,yes
C00022,openalex_acm,A Neural Network Prefetcher for Arbitrary Memory Access Patterns,Leeor Peled; Uri Weiser; Yoav Etsion,2019,ACM Transactions on Architecture and Code Optimization,stage_1_pending,,,,,,,,,10.1145/3345000,,56,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00023,openalex,A Novel Angiotensin-(1-7) Glycosylated Mas Receptor Agonist for Treating Vascular Cognitive Impairment and Inflammation-Related Memory Dysfunction,Meredith Hay; Robin Polt; Michael L. Heien; Todd W. Vanderah; Tally M. Largent‐Milnes; Kathleen E. Rodgers; Torsten Falk; Mitchell J. Bartlett; Kristian P. Doyle; John P. Konhilas,2019,Journal of Pharmacology and Experimental Therapeutics,stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,10.1124/jpet.118.254854,,73,openalex,yes,1,openalex,confirmation,no
C00024,openalex,A Survey of Automatic Parameter Tuning Methods for Metaheuristics,Changwu Huang; Yuanxiang Li; Xin Yao,2019,IEEE Transactions on Evolutionary Computation,stage_1_pending,,,,,,,,,10.1109/tevc.2019.2921598,,356,openalex,yes,1,openalex,confirmation,yes
C00025,openalex,A Survey of Deep Learning-Based Object Detection,Licheng Jiao; Fan Zhang; Fang Liu; Shuyuan Yang; Lingling Li; Zhixi Feng; Rong Qu,2019,IEEE Access,stage_1_pending,,,,,,,,,10.1109/access.2019.2939201,1907.09408,1302,openalex,yes,1,openalex,confirmation,yes
