id,source,parent_query,bucket,title,authors,venue,year,site,cited_by,date_retrieved,stage_reached,decision,exclusion_reason
GS0001,google_scholar,B1_peft_2,B1_2_lowrank_variants,Lora-ga: Low-rank adaptation with gradient approximation,"S Wang, L Yu, J Li","Advances in Neural Information …, 2024 -",2024,,195,2026-07-21/22,,,
GS0002,google_scholar,B1_peft_2,B1_2_lowrank_variants,Lora: Low-rank adaptation of large language models.,"EJ Hu, Y Shen, P Wallis, Z Allen-Zhu, Y Li, S Wang…","Iclr, 2022 -",2022,,36346,2026-07-21/22,,,
GS0003,google_scholar,B1_peft_2,B1_2_lowrank_variants,Lora+: Efficient low rank adaptation of large models,"S Hayou, N Ghosh, B Yu","arXiv preprint arXiv:2402.12354, 2024 -",2024,,549,2026-07-21/22,,,
GS0004,google_scholar,B1_peft_2,B1_2_lowrank_variants,The expressive power of low-rank adaptation,"Y Zeng, K Lee","International Conference on Learning …, 2024 -",2024,,148,2026-07-21/22,,,
GS0005,google_scholar,B1_peft_2,B1_2_lowrank_variants,Qa-lora: Quantization-aware low-rank adaptation of large language models,"Y Xu, L Xie, X Gu, X Chen, H Chang…","International …, 2024 -",2024,,392,2026-07-21/22,,,
GS0006,google_scholar,B1_peft_2,B1_2_lowrank_variants,Dora: Weight-decomposed low-rank adaptation,"SY Liu, CY Wang, H Yin, P Molchanov…","… on Machine Learning, 2024 -",2024,,1527,2026-07-21/22,,,
GS0007,google_scholar,B1_peft_2,B1_2_lowrank_variants,Lora-fa: Memory-efficient low-rank adaptation for large language models fine-tuning,2023,arxiv.org,2023,,295,2026-07-21/22,,,
GS0008,google_scholar,B1_peft_2,B1_2_lowrank_variants,Mixture-of-subspaces in low-rank adaptation,"T Wu, J Wang, Z Zhao, N Wong","Proceedings of the 2024 …, 2024 -",2024,,91,2026-07-21/22,,,
GS0009,google_scholar,B1_peft_2,B1_2_lowrank_variants,Bayesian low-rank adaptation for large language models,"A Yang, M Robeyns, X Wang…","… conference on learning …, 2024 -",2024,,186,2026-07-21/22,,,
GS0010,google_scholar,B1_peft_2,B1_2_lowrank_variants,Low-rank adaptation for foundation models: A comprehensive review,"…, 2024",arxiv.org,2024,,69,2026-07-21/22,,,
GS0011,google_scholar,B1_peft_2,B1_2_lowrank_variants,Computational limits of low-rank adaptation (lora) fine-tuning for transformer models,"JYC Hu, M Su, EJ Kuo, Z Song…","… Conference on Learning …, 2025 -",2025,,37,2026-07-21/22,,,
GS0012,google_scholar,B1_peft_2,B1_2_lowrank_variants,Mtl-lora: Low-rank adaptation for multi-task learning,"Y Yang, D Muhtar, Y Shen, Y Zhan, J Liu…","Proceedings of the …, 2025 -",2025,,50,2026-07-21/22,,,
GS0013,google_scholar,B1_peft_2,B1_2_lowrank_variants,Lora-xs: Low-rank adaptation with extremely small number of parameters,2024,arxiv.org,2024,,86,2026-07-21/22,,,
